Time / s,Power / W
1499,12932.732624983319
1500,10530.948781447665
1501,9327.908082754635
1502,8797.419326448447
1503,8567.054690260147
1504,8716.484792695464
1505,8104.949074074079
1506,7832.7615934237365
1507,8308.908119474934
1508,9195.391996189595
1509,10509.222902451518
1510,13083.632039475704
1511,16669.926142939814
1512,20566.658662418075
1513,24419.189799313655
1514,26868.369536796497
1515,26675.089447118866
1516,23416.29797911908
1517,19692.98991445427
1518,16685.804447461807
1519,14453.885371082439
1520,12646.788654530535
1521,10730.061723765377
1522,8262.069906057113
1523,4688.260497637558
1524,-424.1370230147828
1525,-6986.825737251832
1526,-12319.536761316896
1527,-15419.315911998901
1528,-15072.304878391224
1529,-12102.389269928362
1530,-8049.461096574459
1531,-3374.144594200102
1532,1160.6229971231598
1533,5670.555555555539
1534,10705.6899440634
1535,16845.881463172555
1536,23535.68510531929
